f_c_y,control,K,rows
2007,0,-14,1
2007,0,-13,2
2007,0,-12,2
2007,0,-11,4
2007,0,-10,7
2007,0,-8,9
2007,0,-6,17
2007,0,-4,27
2007,0,-2,36
2007,0,0,55
2007,0,2,64
2007,0,4,68
2007,0,6,76
2007,0,8,71
2007,0,10,66
2007,0,12,66
2008,0,-22,1
2008,0,-21,1
2008,0,-20,1
2008,0,-19,1
2008,0,-18,1
2008,0,-17,1
2008,0,-16,1
2008,0,-15,1
2008,0,-14,2
2008,0,-13,2
2008,0,-12,4
2008,0,-11,4
2008,0,-9,7
2008,0,-7,13
2008,0,-5,21
2008,0,-3,36
2008,0,-1,45
2008,0,1,62
2008,0,3,59
2008,0,5,61
2008,0,7,57
2008,0,9,57
2008,0,11,58
2009,0,-15,1
2009,0,-14,1
2009,0,-13,1
2009,0,-12,2
2009,0,-10,6
2009,0,-8,12
2009,0,-6,17
2009,0,-4,30
2009,0,-2,47
2009,0,0,67
2009,0,2,77
2009,0,4,77
2009,0,6,86
2009,0,8,79
2009,0,10,76
2010,0,-19,1
2010,0,-17,1
2010,0,-16,1
2010,0,-15,1
2010,0,-13,2
2010,0,-11,7
2010,0,-9,10
2010,0,-7,20
2010,0,-5,33
2010,0,-3,46
2010,0,-1,60
2010,0,1,70
2010,0,3,79
2010,0,5,72
2010,0,7,81
2010,0,9,77
2011,0,-18,1
2011,0,-17,1
2011,0,-16,1
2011,0,-15,1
2011,0,-14,1
2011,0,-12,3
2011,0,-10,4
2011,0,-8,5
2011,0,-6,9
2011,0,-4,16
2011,0,-2,27
2011,0,0,42
2011,0,2,47
2011,0,4,52
2011,0,6,53
2011,0,8,45
2012,0,-16,1
2012,0,-11,5
2012,0,-9,8
2012,0,-7,17
2012,0,-5,28
2012,0,-3,37
2012,0,-1,51
2012,0,1,57
2012,0,3,65
2012,0,5,63
2012,0,7,65
2013,0,-14,2
2013,0,-12,2
2013,0,-10,3
2013,0,-8,10
2013,0,-6,18
2013,0,-4,29
2013,0,-2,37
2013,0,0,50
2013,0,2,50
2013,0,4,58
2013,0,6,56
2014,0,-15,1
2014,0,-13,1
2014,0,-11,5
2014,0,-9,9
2014,0,-7,16
2014,0,-5,17
2014,0,-3,29
2014,0,-1,43
2014,0,1,48
2014,0,3,48
2014,0,5,48
2015,0,-18,2
2015,0,-16,2
2015,0,-14,4
2015,0,-12,7
2015,0,-10,9
2015,0,-8,13
2015,0,-6,20
2015,0,-4,31
2015,0,-2,44
2015,0,0,50
2015,0,2,56
2015,0,4,50
2016,0,-13,1
2016,0,-11,8
2016,0,-9,12
2016,0,-7,22
2016,0,-5,27
2016,0,-3,35
2016,0,-1,46
2016,0,1,51
2016,0,3,52
2017,0,-16,1
2017,0,-12,6
2017,0,-10,12
2017,0,-8,16
2017,0,-6,24
2017,0,-4,40
2017,0,-2,45
2017,0,0,52
2017,0,2,48
2018,0,-17,1
2018,0,-15,3
2018,0,-13,3
2018,0,-11,6
2018,0,-9,9
2018,0,-7,14
2018,0,-5,18
2018,0,-3,29
2018,0,-1,35
2018,0,1,38
2019,0,-22,1
2019,0,-20,1
2019,0,-16,2
2019,0,-14,2
2019,0,-12,5
2019,0,-10,4
2019,0,-8,6
2019,0,-6,6
2019,0,-4,9
2019,0,-2,12
2019,0,0,12
,1,,16036
